mun_code,mun_name
554979,Abertamy
531367,Adamov
535826,Adamov
581291,Adamov
547786,Adršpach
598925,Albrechtice
547981,Albrechtice
576077,Albrechtice nad Orlicí
549258,Albrechtice nad Vltavou
563528,Albrechtice v Jizerských horách
568741,Albrechtičky
506761,Alojzov
538001,Andělská Hora
551929,Andělská Hora
573426,Anenská Studánka
586030,Archlebov
509388,Arneštovice
586854,Arnolec
562343,Arnoltice
554499,Aš
569828,Babice
537241,Babice
592013,Babice
538043,Babice
552356,Babice
590274,Babice
582794,Babice nad Svitavou
582808,Babice u Rosic
553433,Babylon
535427,Bakov nad Jizerou
595217,Baliny
563251,Balkova Lhota
593729,Bantice
572560,Banín
569836,Barchov
574724,Barchov
533173,Barchovice
548260,Bartoušov
599212,Bartošovice
576093,Bartošovice v Orlických horách
586862,Batelov
579041,Batňovice
550809,Bavorov
584304,Bavory
534421,Bavoryně
553701,Bačalky
576085,Bačetín
590282,Bačice
546194,Bačkov
544833,Bačkovice
588300,Bařice-Velké Těšany
598011,Baška
572667,Bašnice
538051,Bašť
566756,Bdeněves
565423,Bdín
564575,Bechlín
552054,Bechyně
589268,Bedihošť
562548,Bednárec
561053,Bednáreček
581313,Bedřichov
563536,Bedřichov
576981,Benecko
590304,Benetice
581330,Benešov
529303,Benešov
562351,Benešov nad Ploučnicí
545406,Benešov nad Černou
576999,Benešov u Semil
560723,Benešovice
577774,Benátky
569861,Benátky
535451,Benátky nad Jizerou
531111,Bernardov
549266,Bernartice
532568,Bernartice
524891,Bernartice
579050,Bernartice
568481,Bernartice nad Odrou
531057,Beroun
545414,Besednice
560740,Bezdružice
598895,Bezdědovice
541095,Bezděkov
574741,Bezděkov
548430,Bezděkov
555801,Bezděkov
573884,Bezděkov nad Metují
529672,Bezděkov pod Třemšínem
561398,Bezděz
574309,Bezděčí u Trnávky
593745,Bezkov
588326,Bezměrov
535478,Bezno
512401,Bezuchov
558656,Bezvěrov
536156,Bečice
563366,Bečice
567043,Bečov
554995,Bečov nad Teplou
533181,Bečváry
512281,Beňov
532088,Beřovice
582832,Biskoupky
573949,Biskupice
585076,Biskupice
589284,Biskupice
572519,Biskupice
590312,Biskupice-Pulkov
565997,Bitozeves
578088,Biřkov
593761,Blanné
581283,Blansko
561401,Blatce
500801,Blatec
558672,Blatnice
590321,Blatnice
586048,Blatnice pod Svatým Antonínkem
586056,Blatnička
562998,Blatno
566004,Blatno
550850,Blatná
542318,Blazice
561711,Blažejov
532380,Blažejovice
566012,Blažim
566764,Blažim
595241,Blažkov
582841,Blažovice
532100,Blevice
569879,Blešno
557587,Blovice
530964,Bludov
525588,Bludov
582859,Blučina
595250,Blízkov
553450,Blížejov
561410,Blíževedly
593770,Blížkovice
566021,Blšany
542547,Blšany u Loun
537039,Bobnice
595268,Bobrová
595276,Bobrůvka
511633,Bocanovice
555029,Bochov
590347,Bochovice
512532,Bochoř
569887,Boharyně
561428,Bohatice
592897,Bohaté Málkovice
595284,Bohdalec
592901,Bohdalice-Pavlovice
595292,Bohdalov
536253,Bohdalovice
547549,Bohdalín
533980,Bohdaneč
576115,Bohdašín
525804,Bohdíkov
564559,Bohostice
550116,Bohumilice
599051,Bohumín
537527,Bohunice
573892,Bohuslavice
589292,Bohuslavice
506192,Bohuslavice
586901,Bohuslavice
525880,Bohuslavice
557102,Bohuslavice nad Vláří
585092,Bohuslavice u Zlína
569178,Bohuslávky
593788,Bohutice
525979,Bohutín
539953,Bohutín
577812,Bohuňov
595306,Bohuňov
577821,Bohuňovice
500852,Bohuňovice
550400,Bohušice
597201,Bohušov
564591,Bohušovice nad Ohří
566471,Bohy
572705,Boháňka
571202,Bojanov
539104,Bojanovice
593796,Bojanovice
568457,Bojiště
592048,Bojkovice
506214,Bolatice
563005,Boleboř
576123,Bolehošť
584321,Boleradice
545422,Boletice
555835,Bolešiny
540463,Bolkov
560758,Bor
547867,Bor u Skutče
595314,Borač
568431,Bordovice
548979,Borek
534684,Borek
568465,Borek
544272,Borek
574783,Borek
535508,Boreč
584339,Borkovany
552097,Borkovice
576131,Borohrádek
593800,Borotice
539970,Borotice
552101,Borotín
581356,Borotín
598780,Borovany
544281,Borovany
535681,Borovnice
532096,Borovnice
579092,Borovnice
595322,Borovnice
576140,Borovnice
548821,Borovnička
566705,Borovno
587184,Borovná
595331,Borovník
542156,Borovy
573906,Borová
577839,Borová
545902,Borová Lada
572632,Borušov
595641,Bory
592064,Boršice
592056,Boršice u Blatnice
586927,Boršov
544299,Boršov nad Vltavou
535516,Boseň
581372,Boskovice
593818,Boskovštejn
562122,Boudy
571237,Bousov
589306,Bousín
500861,Bouzov
577006,Bozkov
573558,Boňkov
538086,Bořanovice
549690,Bořenovice
561240,Bořetice
584347,Bořetice
562742,Bořetín
509418,Bořetín
571229,Bořice
567469,Bořislav
581364,Bořitov
550124,Bošice
535401,Bošilec
592919,Bošovice
548006,Bošín
573914,Božanov
547581,Božejov
549291,Božetice
593826,Božice
555045,Božičany
506486,Boží Dar
549100,Brada-Rybníček
570788,Bradlec
577014,Bradlecká Lhota
552127,Bradáčov
530832,Brambory
567078,Brandov
538094,Brandýs nad Labem-Stará Boleslav
579947,Brandýs nad Orlicí
532118,Brandýsek
549304,Branice
551490,Branišov
593834,Branišovice
554197,Branka u Opavy
592927,Brankovice
541648,Branky
526169,Branná
541672,Branov
590363,Bransouze
597210,Brantice
582875,Braníškov
571946,Branžež
539988,Bratkovice
537063,Bratronice
532142,Bratronice
569437,Bratrušov
582883,Bratčice
531286,Bratčice
585106,Bratřejov
547603,Bratřice
553107,Bratříkovice
571199,Bratřínov
556858,Bravantice
567060,Braňany
532126,Braškov
500101,Bražec
545431,Brloh
574791,Brloh
561444,Brniště
582786,Brno
530727,Brníčko
566136,Brnířov
577863,Brněnec
584355,Brod nad Dyjí
541605,Brod nad Tichou
535559,Brodce
546895,Brodec
589314,Brodek u Konice
589322,Brodek u Prostějova
512800,Brodek u Přerova
566489,Brodeslavy
573922,Broumov
541401,Broumov
531081,Broumy
564621,Brozany nad Ohří
586943,Brtnice
590371,Brtnička
581402,Brumov
585114,Brumov-Bylnice
506320,Brumovice
584363,Brumovice
597180,Bruntál
588377,Brusné
598046,Bruzovice
598038,Brušperk
573931,Brzice
586951,Brzkov
546755,Brzánky
538108,Brázdim
564613,Brňany
581381,Brťov-Jeneč
560308,Bublava
531103,Bubovice
592102,Buchlovice
595390,Budeč
546020,Budeč
537055,Budiměřice
577910,Budislav
552143,Budislav
590401,Budišov
506460,Budišov nad Budišovkou
568261,Budišovice
561576,Budkov
590410,Budkov
560171,Budyně
564656,Budyně nad Ohří
547638,Budíkov
546038,Budíškovice
548952,Budčeves
555894,Budětice
589349,Budětsko
545449,Bujanov
559741,Bujesily
512826,Buk
537519,Buk
595403,Bukov
564664,Bukovany
552402,Bukovany
532924,Bukovany
586072,Bukovany
560316,Bukovany
553506,Bukovec
511935,Bukovec
547751,Bukovice
581437,Bukovice
581445,Bukovina
574813,Bukovina nad Labem
574821,Bukovina u Přelouče
577031,Bukovina u Čisté
581453,Bukovinka
574830,Bukovka
535605,Bukovno
530085,Bukovník
589357,Buková
546372,Buková
540021,Buková u Příbramě
573353,Bukvice
584380,Bulhary
563935,Bulovka
549282,Butoves
529966,Buzice
579963,Bučina
592943,Bučovice
558699,Bučí
561312,Buřenice
540048,Buš
550159,Bušanovice
559750,Bušovice
532169,Buštěhrad
532894,Bušín
534145,Bykoš
571245,Bylany
544647,Bynovec
547026,Bystrovany
500879,Bystročice
561801,Bystrá
577049,Bystrá nad Jizerou
577928,Bystré
576166,Bystré
567477,Bystřany
579971,Bystřec
529451,Bystřice
572772,Bystřice
598062,Bystřice
595411,Bystřice nad Pernštejnem
588393,Bystřice pod Hostýnem
592111,Bystřice pod Lopeníkem
541711,Bystřička
576174,Byzhradec
534722,Byšice
586081,Bzenec
531120,Bzová
561118,Bácovice
592021,Bánov
562726,Báňovice
562980,Bílence
535125,Bílichov
567451,Bílina
530743,Bílkovice
530239,Bílov
546984,Bílov
599247,Bílovec
592030,Bílovice
582824,Bílovice nad Svitavou
589276,Bílovice-Lutotín
550833,Bílsko
552062,Bílsko
548901,Bílsko u Hořic
563901,Bílá
598020,Bílá
565750,Bílá Hlína
500623,Bílá Lhota
579068,Bílá Třemešná
525227,Bílá Voda
533971,Bílé Podolí
579076,Bílé Poličany
563919,Bílý Kostel nad Nisou
586889,Bílý Kámen
546631,Bílý Potok
576107,Bílý Újezd
597198,Bílčice
535486,Bítouchov
593753,Bítov
554936,Bítov
505005,Bítovany
586897,Bítovčice
533238,Býchory
534714,Býkev
569607,Býkov-Láryšov
581461,Býkovice
546780,Býčkovice
512877,Býškovice
595420,Býšovec
574848,Býšť
572675,Běchary
541842,Běhařov
593737,Běhařovice
560448,Běleč
581321,Běleč
535010,Běleč
569852,Běleč nad Orlicí
500526,Bělkovice-Lašťany
532070,Běloky
512231,Bělotín
588318,Bělov
567051,Bělušice
533190,Bělušice
561126,Bělá
573566,Bělá
512974,Bělá
576972,Bělá
553441,Bělá nad Radbuzou
572586,Bělá nad Svitavou
535443,Bělá pod Bezdězem
523917,Bělá pod Pradědem
505391,Bělá u Jevíčka
550817,Bělčice
537021,Běrunice
553760,Běstovice
571181,Běstvina
555797,Běšiny
531073,Běštín
559725,Břasy
584291,Břeclav
536059,Břehov
574805,Břehy
588385,Břest
592072,Břestek
548278,Břevnice
595349,Březejc
559733,Březina
507733,Březina
535567,Březina
549070,Březina
581429,Březina
582891,Březina
592935,Březina
577871,Březina
572250,Březinky
577898,Březiny
540013,Březnice
552135,Březnice
538744,Březnice
535583,Březno
563013,Březno
590380,Březník
592081,Březolupy
599514,Březovice
537870,Březová
560294,Březová
585131,Březová
506451,Březová
592099,Březová
531090,Březová
505145,Březová nad Svitavou
599735,Březová-Oleško
589331,Březsko
595381,Březské
530018,Březí
595357,Březí
564869,Březí
584371,Březí
595365,Březí nad Oslavou
585149,Březůvky
541923,Břežany
565041,Břežany
593842,Břežany
533211,Břežany I
533220,Břežany II
597228,Břidličná
566063,Břvany
537047,Bříství
564648,Bříza
548855,Bříšťany
567485,Bžany
560782,Cebiv
550906,Cehnice
586978,Cejle
559768,Cekov
509191,Cep
572781,Cerekvice nad Bystřicí
577936,Cerekvice nad Loučnou
586986,Cerekvička-Rosice
533246,Cerhenice
549321,Cerhonice
531138,Cerhovice
588407,Cetechovice
563943,Cetenov
581470,Cetkovice
547662,Cetoraz
564419,Cetyně
568007,Chabařovice
534081,Chabeřice
531251,Chaloupky
556335,Chanovice
565784,Charvatce
568872,Charváty
563081,Chbany
554481,Cheb
551139,Chelčice
559857,Cheznovice
512923,Chlebičov
532878,Chleby
599620,Chleby
576310,Chleny
556343,Chlistov
529982,Chlum
590711,Chlum
540803,Chlum
557773,Chlum
561614,Chlum
529770,Chlum
560375,Chlum Svaté Maří
546461,Chlum u Třeboně
595705,Chlum-Korouhvice
550248,Chlumany
568015,Chlumec
536229,Chlumec
570109,Chlumec nad Cidlinou
595713,Chlumek
540307,Chlumy
534820,Chlumín
566233,Chlumčany
557781,Chlumčany
595721,Chlumětín
534455,Chlustina
548791,Chlístov
532045,Chlístov
590703,Chlístov
534099,Chlístovice
529788,Chmelná
572730,Chmelík
536903,Chobot
557803,Chocenice
529796,Chocerady
580350,Choceň
535923,Chocnějovice
553727,Chocomyšl
564923,Chodouny
534447,Chodouň
578011,Chodov
560383,Chodov
553735,Chodov
564931,Chodovlice
